generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end,best_prey_raw_fitness,best_predator_raw_fitness,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
1,235.34,600,46,2.6,4,26,3.0,87.0,3.0,87.0,1,3,20770.63,3138.45,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,232.76,511,27,2.1,3,21,3.02,86.62,3.1,86.6,0,5,20770.63,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,243.32,489,32,2.5,4,25,3.0,85.86,3.0,86.9,0,8,20770.63,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,254.8,600,50,2.1,4,21,3.0,85.0,3.0,86.7,2,3,26056.73,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
5,254.36,559,37,1.4,4,14,3.02,84.26,3.1,86.7,0,1,33499.29,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
6,248.3,600,45,1.8,3,18,3.14,81.92,3.0,86.7,2,1,33499.29,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
7,252.78,600,36,2.0,4,20,3.08,79.0,3.0,86.4,2,2,33499.29,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
8,262.64,600,33,1.1,3,11,3.0,76.08,3.0,86.1,1,0,33499.29,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
9,271.2,600,68,1.9,4,19,3.02,74.06,3.0,85.2,3,1,33499.29,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
10,295.98,600,111,1.3,3,13,3.02,71.8,3.0,84.9,6,1,37524.84,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
11,290.68,600,125,2.5,4,25,3.0,70.72,3.0,84.5,5,5,37524.84,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
12,290.46,600,106,2.1,4,21,3.0,68.16,3.0,84.1,3,2,37524.84,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
13,277.12,600,102,2.1,4,21,3.0,66.04,3.0,84.4,3,4,37524.84,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
14,262.26,600,112,2.1,3,21,3.0,65.74,3.0,84.8,3,1,60145.31,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
15,306.24,600,137,1.9,3,19,3.04,64.7,3.0,83.4,9,2,60145.31,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
16,281.8,600,91,1.9,4,19,3.0,62.26,3.1,83.2,5,1,60145.31,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
17,237.78,600,54,2.1,4,21,3.0,60.3,3.0,83.4,1,2,60145.31,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
18,284.82,600,61,1.8,5,18,3.0,59.64,3.1,83.3,3,2,60145.31,10243.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
19,247.52,600,48,2.2,3,22,3.0,57.24,3.3,82.2,1,3,60145.31,10693.95,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
20,269.38,600,59,1.9,3,19,3.02,55.82,3.6,82.1,2,3,60145.31,10693.95,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
21,281.28,513,44,1.0,3,10,3.0,54.12,4.0,82.2,0,2,60145.31,10693.95,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
22,270.06,600,46,1.3,2,13,3.02,52.72,4.0,80.4,4,1,60145.31,10693.95,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
23,272.24,600,50,1.5,3,15,3.14,50.52,4.0,80.1,2,1,60145.31,11436.98,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
24,306.06,600,58,1.1,3,11,3.0,47.34,4.0,79.4,4,2,60145.31,11436.98,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
25,272.06,600,70,2.4,5,24,3.02,45.42,3.9,78.7,5,3,60145.31,11436.98,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
26,282.34,600,57,1.5,3,15,3.06,43.18,4.0,77.5,5,0,60145.31,11436.98,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
27,280.3,600,73,2.1,4,21,3.14,41.62,3.9,76.8,5,4,60145.31,11436.98,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
28,299.02,600,81,1.7,4,17,3.04,41.0,4.0,77.1,3,4,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
29,290.14,600,68,1.8,3,18,3.0,39.02,4.0,77.1,3,2,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
30,271.58,600,48,1.3,3,13,3.0,37.4,4.0,77.2,1,1,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
31,261.9,600,48,1.8,3,18,3.04,36.58,4.0,77.3,2,0,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
32,257.52,600,44,1.7,4,17,3.06,36.52,4.0,76.8,1,3,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
33,258.08,600,57,1.6,3,16,3.34,35.94,4.0,75.5,2,1,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
34,267.48,600,52,1.8,4,18,3.7,35.32,4.0,73.7,2,2,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
35,264.1,600,73,2.1,4,21,3.76,33.14,4.0,72.8,1,2,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
36,278.2,600,97,2.2,4,22,3.3,31.62,4.7,74.1,5,3,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
37,254.64,600,96,2.6,5,26,3.34,30.72,4.3,73.2,1,4,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
38,269.64,600,80,1.7,3,17,3.34,29.02,4.2,72.4,1,3,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
39,262.04,600,85,2.4,4,24,3.76,29.06,4.0,72.2,2,6,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
40,281.7,600,77,1.8,5,18,3.52,26.16,4.0,71.2,2,4,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
41,290.98,600,101,2.2,4,22,3.6,25.7,3.9,71.6,5,3,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
42,259.64,600,84,2.4,4,24,3.48,24.52,4.1,72.0,1,6,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
43,304.92,600,96,2.0,4,20,3.82,25.26,4.0,71.9,5,4,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
44,281.64,600,105,2.5,4,25,3.6,24.36,4.0,71.8,4,6,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
45,295.22,600,107,2.3,4,23,3.08,22.6,4.1,72.1,4,6,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
46,307.96,600,130,2.4,4,24,3.02,21.6,4.0,71.7,7,6,60145.31,14798.59,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
47,253.8,521,52,2.2,4,22,3.0,20.44,4.3,70.4,0,7,60145.31,15128.08,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
48,299.38,600,115,2.6,4,26,3.02,18.86,3.1,66.9,3,6,60145.31,15128.08,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
49,305.0,600,100,1.9,3,19,3.0,17.7,3.0,67.4,3,5,60145.31,15128.08,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
50,289.84,600,83,2.7,4,27,3.02,16.72,3.0,67.3,4,4,60145.31,17281.32,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
51,257.84,579,86,2.8,4,28,3.0,15.8,3.0,67.2,0,5,60145.31,17281.32,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
52,300.88,600,118,2.8,4,28,3.04,15.12,3.1,67.3,6,6,60145.31,17281.32,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
53,318.6,600,122,1.8,4,18,3.2,15.64,3.0,67.0,7,3,60145.31,17281.32,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
