generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end
1,158.9,600,29,1.76,4,44,3.0,87.0,3.0,87.0,1,23
2,172.48,442,25,1.6,4,40,3.04,86.56,3.0,86.72,0,25
3,199.96,379,24,1.24,4,31,3.04,86.22,3.04,85.88,0,25
4,163.84,396,40,1.56,4,39,3.02,85.26,3.0,85.44,0,25
5,158.82,403,44,1.76,3,44,3.18,83.4,3.0,84.04,0,25
6,163.12,448,43,1.72,4,43,3.3,80.74,3.0,83.72,0,25
7,152.18,416,34,1.68,4,42,3.28,77.56,3.04,83.24,0,25
8,184.68,600,56,1.48,4,37,3.42,73.94,3.04,84.08,2,18
9,198.32,600,98,1.8,4,45,3.28,70.8,3.0,83.6,2,22
10,168.04,600,92,1.84,4,46,3.26,66.26,3.08,82.16,2,21
11,167.64,600,76,1.8,3,45,3.3,63.02,3.0,81.32,2,22
12,170.8,490,104,1.92,4,48,3.26,61.28,3.0,80.64,0,25
13,228.08,600,121,1.76,5,44,3.32,59.98,3.0,79.88,2,19
14,164.0,600,91,1.8,4,45,3.22,58.72,3.0,79.76,1,20
15,173.8,600,103,1.88,5,47,3.4,57.82,3.0,78.24,1,20
16,154.26,331,70,1.84,4,46,3.32,55.04,3.0,78.0,0,25
17,166.32,467,73,1.76,4,44,3.48,54.72,3.0,78.0,0,25
18,162.3,600,79,1.56,4,39,3.48,53.74,3.0,77.56,1,20
19,152.74,394,63,1.92,4,48,3.44,50.58,3.0,77.36,0,25
20,158.82,369,54,1.8,4,45,3.4,48.72,3.0,77.6,0,25
21,179.52,451,79,1.6,3,40,3.44,46.54,3.0,76.44,0,25
22,150.06,419,59,1.88,4,47,3.5,43.42,3.0,75.84,0,25
23,161.04,377,60,1.84,4,46,3.64,42.02,3.04,75.76,0,25
24,161.52,388,45,1.72,3,43,3.38,39.02,3.0,76.12,0,25
25,185.56,434,43,1.52,5,38,3.32,37.78,3.0,76.28,0,25
26,182.82,576,53,1.48,3,37,3.02,36.36,3.12,74.6,0,21
27,215.76,531,56,1.56,4,39,3.04,35.46,3.24,73.92,0,25
28,181.82,554,67,1.84,4,46,3.02,34.88,3.08,71.76,0,22
29,200.68,600,49,1.52,3,38,3.0,34.5,3.0,70.6,1,18
30,187.62,600,54,1.56,4,39,3.02,33.0,3.04,69.12,1,18
31,190.92,457,59,1.56,4,39,3.1,32.16,3.16,67.24,0,25
32,182.36,421,65,1.72,4,43,3.14,30.78,3.04,66.12,0,25
33,177.46,442,65,1.84,4,46,3.24,30.34,3.0,66.24,0,25
34,159.64,411,55,1.76,3,44,3.0,29.74,3.0,66.32,0,25
35,151.74,431,61,1.92,4,48,3.0,29.64,3.0,64.8,0,25
36,166.5,358,66,1.84,4,46,3.0,28.5,3.08,64.24,0,25
37,165.52,490,60,1.76,5,44,3.04,26.92,3.0,62.96,0,25
38,145.84,303,51,1.76,3,44,3.02,24.82,3.0,61.4,0,25
39,196.2,366,44,1.52,4,38,3.02,23.5,3.0,60.72,0,25
40,156.74,327,55,1.76,3,44,3.04,21.76,3.0,61.04,0,25
41,146.94,389,67,1.92,3,48,3.06,21.02,3.0,60.36,0,25
