generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end,best_prey_raw_fitness,best_predator_raw_fitness,config_food_count,config_food_generation_frames,config_fps,config_generations,config_height,config_max_frames,config_pred_attack_cooldown,config_pred_hunger_cons,config_pred_max_energy,config_pred_max_hunger,config_pred_radius,config_pred_speed,config_pred_sprint_speed,config_prey_danger_radius,config_prey_hunger_cons,config_prey_max_energy,config_prey_max_hunger,config_prey_radius,config_prey_speed,config_prey_sprint_speed,config_render_n,config_width,config_prey_pop_size,config_predator_pop_size
1,228.64,420,29,2.2,4,22,3.0,87.0,3.0,87.0,0,7,7745.46,3020.34,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
2,228.94,600,27,2.6,4,26,3.02,86.7,3.0,86.4,1,3,7745.46,5474.62,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
3,237.52,600,46,1.8,3,18,3.02,86.08,3.0,85.8,1,1,17164.92,6376.18,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
4,277.72,600,71,2.1,4,21,3.02,85.42,3.0,85.8,5,3,21224.51,10458.69,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
5,251.76,539,54,2.4,4,24,3.02,85.02,3.0,85.8,0,6,21224.51,10458.69,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
6,248.24,464,51,2.6,4,26,3.02,83.32,3.0,85.5,0,8,21224.51,11365.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
7,275.94,600,60,1.8,3,18,3.0,82.1,3.0,85.1,2,2,25455.07,11365.85,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
8,276.06,600,79,2.4,5,24,3.0,80.0,3.0,83.2,5,5,28249.72,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
9,246.12,600,60,2.5,5,25,3.04,78.46,3.0,82.7,1,4,28249.72,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
10,278.3,600,82,2.5,5,25,3.04,77.34,3.1,82.4,2,5,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
11,275.3,600,70,3.0,5,30,3.04,75.28,3.0,80.6,1,6,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
12,279.78,590,70,2.4,4,24,3.0,74.42,3.0,80.1,0,6,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
13,235.1,421,44,2.8,4,28,3.02,74.2,3.0,80.6,0,9,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
14,278.16,600,97,2.7,4,27,3.1,73.52,3.1,79.7,3,7,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
15,291.9,600,98,2.5,5,25,3.22,74.32,3.0,79.0,3,4,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
16,302.66,600,89,2.8,6,28,3.0,75.48,3.0,78.5,4,6,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
17,261.32,600,59,2.3,3,23,3.06,74.1,3.0,78.0,1,6,40444.78,15930.46,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
18,236.54,543,62,3.0,5,30,3.0,72.72,3.0,77.7,0,9,40444.78,16858.95,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
19,261.48,600,80,2.9,5,29,3.02,68.8,3.0,78.8,2,4,40444.78,16858.95,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
20,224.38,475,43,2.8,4,28,3.0,66.54,3.1,78.6,0,10,40444.78,16862.01,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
21,273.76,600,43,2.1,4,21,3.0,64.34,3.0,77.6,1,5,40444.78,19072.16,30,60,60,500,600,600,100,0.45,140.0,140.0,9.0,3.5,7.0,180.0,0.45,200.0,120.0,8.0,4.0,8.5,100,800,50,10
