generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections
1,119.77,293,15,1.67,5,25,3.0,44.0,3.0,44.0
2,140.7,600,26,1.6,5,24,3.03,43.83,3.13,44.0
3,107.27,265,19,1.87,4,28,3.27,43.93,3.6,44.2
4,76.3,199,16,1.93,8,29,3.27,43.17,3.07,43.4
5,88.63,201,14,2.0,10,30,3.3,42.43,3.07,43.4
6,92.97,199,18,1.93,6,29,3.57,42.83,3.47,43.0
7,82.6,162,10,2.0,6,30,3.93,42.87,3.33,42.8
8,125.17,600,29,1.6,4,24,4.13,43.1,3.07,41.87
9,114.97,600,36,1.73,7,26,4.0,42.9,3.27,42.0
10,114.8,282,32,2.0,7,30,4.2,42.97,3.07,41.47
11,79.47,217,23,2.0,5,30,4.17,42.17,3.2,40.73
12,76.27,234,22,2.0,5,30,3.7,40.2,3.13,40.67
13,89.8,247,29,2.0,8,30,3.7,39.53,3.53,40.53
14,96.93,193,29,2.0,10,30,3.7,39.27,3.07,40.47
15,65.2,174,17,2.0,8,30,4.13,39.87,3.07,39.87
16,76.03,151,24,2.0,6,30,4.87,40.2,3.0,39.27
17,83.13,207,18,1.87,6,28,4.73,39.9,3.27,38.8
18,74.9,268,22,1.87,5,28,4.8,39.43,3.07,38.27
19,75.5,159,25,2.0,5,30,4.67,38.07,3.0,38.67
20,93.33,243,28,2.0,7,30,4.33,37.2,3.2,37.8
21,66.1,153,25,2.0,5,30,4.77,37.27,3.33,36.47
22,69.97,244,38,2.0,8,30,4.83,37.77,3.13,37.0
23,57.4,180,20,2.0,5,30,4.63,37.0,3.07,37.27
24,65.43,156,26,2.0,5,30,4.37,34.43,3.13,37.2
25,56.1,147,19,2.0,4,30,4.7,34.1,3.6,37.8
26,66.83,157,18,2.0,5,30,4.83,33.47,3.67,36.87
27,63.63,163,19,2.0,6,30,4.9,33.07,4.4,37.73
28,127.0,600,41,1.73,7,26,5.17,32.73,4.07,36.53
29,69.83,257,25,2.0,9,30,4.87,32.1,4.07,35.93
30,82.47,308,26,2.0,7,30,4.97,32.07,3.93,36.0
31,80.53,171,23,2.0,6,30,4.67,31.2,4.13,36.13
32,54.9,119,24,2.0,5,30,4.4,29.57,4.27,36.07
33,69.83,165,16,2.0,7,30,4.37,29.93,4.6,35.93
34,91.33,191,32,2.0,6,30,3.93,28.97,4.53,35.0
35,97.03,193,25,2.0,5,30,3.83,28.23,4.4,33.13
36,73.37,185,20,2.0,7,30,4.8,28.93,4.53,33.47
37,81.87,195,31,2.0,9,30,5.17,29.13,4.93,34.4
38,77.43,407,24,2.0,6,30,5.13,28.87,4.0,32.87
39,57.57,199,16,1.93,5,29,4.97,28.5,4.0,32.87
40,54.23,127,20,2.0,8,30,5.23,28.47,3.93,33.2
41,60.9,154,26,2.0,5,30,4.4,25.07,4.0,32.93
42,98.27,228,28,1.93,7,29,4.23,23.63,3.93,32.53
43,117.17,600,44,1.73,7,26,4.13,23.93,3.47,31.4
44,100.47,297,30,1.87,6,28,4.47,24.73,3.93,32.87
45,96.63,182,29,2.0,9,30,4.57,22.07,4.07,33.13
46,77.4,165,18,2.0,9,30,4.7,21.27,4.47,33.0
47,101.93,248,32,1.93,5,29,4.57,21.4,4.13,32.0
48,75.93,275,32,2.0,5,30,4.77,20.9,4.13,32.27
49,76.03,166,19,2.0,6,30,4.73,19.8,4.27,32.93
50,88.63,245,24,1.93,10,29,5.33,21.77,4.33,32.87
51,77.23,196,20,2.0,3,30,4.97,20.57,3.93,32.0
52,76.8,125,14,2.0,7,30,5.5,21.3,4.07,31.93
53,129.27,232,22,1.67,6,25,5.7,21.07,3.93,31.47
54,83.63,253,33,2.0,6,30,5.1,18.8,4.07,31.73
55,82.47,192,21,2.0,6,30,4.4,15.57,4.13,32.07
56,90.9,224,32,1.93,7,29,3.2,12.9,4.07,31.93
57,71.0,227,32,2.0,7,30,3.47,12.93,4.13,31.13
58,89.7,253,30,2.0,7,30,3.57,12.77,4.0,30.93
